Campaign ID,Campaign Name,Emails Sent,Open Rate (%),Click-Through Rate (%),Conversion Rate (%),Unsubscribe Rate (%),Revenue Generated ($)
EM-0001,Customer Appreciation,436375.00,5.83,4.60,1.77,2.84,37643.98
EM-0002,Flash Sale,38111.00,6.01,5.85,2.01,4.08,57634.13
EM-0003,Newsletter,34780.00,23.73,9.27,0.55,0.67,47581.07
EM-0004,Flash Sale,163962.00,49.22,10.82,6.25,3.75,55342.07
EM-0005,Customer Appreciation,259551.00,27.06,5.10,5.78,2.04,51666.46
EM-0006,Customer Appreciation,314531.00,19.61,12.77,6.01,1.61,98169.73
EM-0007,Exclusive Offers,266500.00,27.15,15.78,5.56,4.48,57418.39
EM-0008,Flash Sale,488415.00,33.78,9.59,6.74,4.35,78459.67
EM-0009,New Product Launch,87060.00,18.80,8.37,3.21,4.77,81300.96
EM-0010,Customer Appreciation,303989.00,47.00,9.65,0.66,1.52,55378.06
EM-0011,Newsletter,190560.00,43.92,19.64,9.63,1.22,92095.51
EM-0012,Exclusive Offers,194890.00,12.29,2.12,9.64,2.44,6070.02
EM-0013,Newsletter,208140.00,7.89,7.17,5.86,2.95,7682.24
EM-0014,New Product Launch,33940.00,48.89,5.70,2.90,4.46,77099.27
EM-0015,Customer Appreciation,320121.00,32.35,19.17,3.30,1.77,61885.22
EM-0016,Newsletter,10726.00,25.00,13.64,4.78,2.96,41057.08
EM-0017,Flash Sale,72482.00,24.53,14.42,6.93,2.23,78024.83
EM-0018,Flash Sale,32183.00,23.32,5.44,1.41,2.41,92852.77
EM-0019,Flash Sale,386981.00,29.00,8.43,6.54,2.83,54788.94
EM-0020,Holiday Discounts,4682.00,17.56,5.43,2.73,3.38,21469.34
EM-0021,Exclusive Offers,40518.00,36.05,13.04,7.02,4.58,7323.90
EM-0022,Exclusive Offers,206739.00,30.41,8.03,1.60,0.82,73501.82
EM-0023,New Product Launch,129403.00,31.60,19.01,6.39,4.38,71686.22
EM-0024,Holiday Discounts,12062.00,48.81,12.44,4.27,4.57,99555.03
EM-0025,Exclusive Offers,160431.00,43.95,8.04,1.36,4.90,33369.83
EM-0026,Newsletter,421909.00,7.44,8.43,5.07,4.94,14970.21
EM-0027,Exclusive Offers,7527.00,30.53,3.86,4.83,1.51,27543.42
EM-0028,Exclusive Offers,129533.00,46.23,10.05,3.43,3.82,4496.23
EM-0029,Exclusive Offers,297578.00,17.66,16.68,2.87,0.48,50991.35
EM-0030,Holiday Discounts,267040.00,24.31,11.36,4.48,0.45,29192.05
EM-0031,Holiday Discounts,328832.00,37.28,16.06,4.12,4.42,15388.50
EM-0032,Holiday Discounts,400602.00,40.86,12.36,3.41,4.45,14635.06
EM-0033,Newsletter,44289.00,37.21,10.69,6.26,1.45,62749.30
EM-0034,Exclusive Offers,369768.00,45.16,9.67,3.23,4.95,63259.55
EM-0035,Flash Sale,489353.00,38.63,11.86,1.79,3.80,78858.04
EM-0036,Exclusive Offers,353971.00,23.64,12.84,3.81,2.14,48477.74
EM-0037,Customer Appreciation,313439.00,41.42,17.07,6.85,0.57,62544.44
EM-0038,Exclusive Offers,155805.00,11.08,9.65,3.03,0.53,39163.67
EM-0039,Newsletter,388772.00,21.59,16.55,6.95,0.63,90073.75
EM-0040,Flash Sale,416898.00,15.95,13.65,1.17,1.22,98786.88
EM-0041,Newsletter,235165.00,41.12,7.87,3.43,4.73,2130.54
EM-0042,Holiday Discounts,495741.00,23.09,11.10,2.39,4.37,53016.85
EM-0043,Customer Appreciation,499231.00,44.96,12.16,4.97,1.90,98358.06
EM-0044,Customer Appreciation,452748.00,27.57,13.39,6.62,3.81,28815.07
EM-0045,Newsletter,74697.00,10.34,18.11,9.78,1.08,26051.77
EM-0046,Flash Sale,173672.00,7.29,13.83,4.20,3.37,47372.62
EM-0047,Newsletter,51208.00,27.85,18.98,7.90,1.85,21634.89
EM-0048,Newsletter,496175.00,25.91,17.57,5.11,1.16,42784.63
EM-0049,Flash Sale,467788.00,29.87,14.23,9.08,1.07,67416.97
EM-0050,Customer Appreciation,281291.00,28.38,14.51,3.38,3.23,48736.85
EM-0051,Flash Sale,193751.00,26.31,17.68,9.36,2.31,13154.76
EM-0052,New Product Launch,364139.00,14.96,4.15,5.87,4.60,92249.48
EM-0053,Exclusive Offers,469841.00,22.01,13.68,9.83,4.88,35207.52
EM-0054,Flash Sale,348188.00,26.39,7.37,4.97,3.46,99053.81
EM-0055,Customer Appreciation,100558.00,6.19,9.20,0.90,2.45,62510.65
EM-0056,Flash Sale,228018.00,19.63,19.49,7.78,4.93,5810.77
EM-0057,Flash Sale,442455.00,39.23,14.45,9.58,2.90,22287.89
EM-0058,Holiday Discounts,180830.00,19.57,9.21,2.54,4.89,24399.38
EM-0059,Flash Sale,414518.00,49.70,2.42,3.61,4.99,81503.96
EM-0060,Exclusive Offers,426283.00,20.88,11.73,2.40,1.92,92152.24
EM-0061,Flash Sale,472879.00,45.54,13.68,0.61,4.20,90695.45
EM-0062,Flash Sale,448417.00,43.95,6.00,1.25,1.63,81585.28
EM-0063,Newsletter,174890.00,43.70,6.38,2.09,2.31,79501.97
EM-0064,Exclusive Offers,303122.00,20.61,18.10,9.65,1.19,69908.16
EM-0065,Holiday Discounts,134659.00,19.67,8.47,3.44,2.64,64960.61
EM-0066,New Product Launch,134080.00,43.32,16.62,9.73,4.75,69489.91
EM-0067,Holiday Discounts,350870.00,47.78,1.73,1.84,3.46,32743.99
EM-0068,Newsletter,332584.00,24.88,4.05,9.00,0.99,50670.86
EM-0069,Flash Sale,99267.00,44.77,3.66,3.26,4.11,22616.96
EM-0070,Newsletter,194417.00,23.97,16.67,2.28,3.50,82515.18
EM-0071,Newsletter,405479.00,8.23,4.07,5.36,1.00,71951.22
EM-0072,Flash Sale,406540.00,29.81,18.97,7.77,4.42,7126.15
EM-0073,Flash Sale,82559.00,15.16,4.80,8.98,3.79,86469.28
EM-0074,Exclusive Offers,492439.00,10.81,3.56,7.97,3.64,52063.17
EM-0075,Flash Sale,113560.00,17.34,6.51,1.16,4.09,59969.83
EM-0076,Holiday Discounts,454035.00,35.85,9.19,6.69,1.73,52610.30
EM-0077,Holiday Discounts,282088.00,8.45,13.19,6.42,3.63,37054.97
EM-0078,Newsletter,148858.00,36.72,19.58,8.27,1.73,73624.43
EM-0079,New Product Launch,475774.00,41.83,12.32,7.11,2.92,37944.71
EM-0080,Flash Sale,398413.00,42.17,2.98,9.14,0.59,3216.69
EM-0081,Customer Appreciation,328562.00,33.80,5.09,3.28,4.29,11259.63
EM-0082,Exclusive Offers,260109.00,28.81,6.65,6.41,4.03,32712.47
EM-0083,New Product Launch,412590.00,30.96,13.86,5.76,2.77,62074.52
EM-0084,Customer Appreciation,426310.00,37.53,5.70,7.91,2.73,56237.78
EM-0085,Newsletter,13220.00,28.25,15.65,6.41,2.28,72855.85
EM-0086,Holiday Discounts,149589.00,24.67,4.07,0.54,3.80,82876.23
EM-0087,Flash Sale,400138.00,5.60,19.48,8.89,2.26,83360.44
EM-0088,Holiday Discounts,386930.00,28.84,12.43,8.91,0.11,7899.25
EM-0089,Flash Sale,105197.00,40.96,8.19,7.54,2.08,58776.63
EM-0090,Flash Sale,45051.00,42.07,16.36,6.91,0.50,812.31
EM-0091,New Product Launch,142060.00,47.73,16.85,9.19,3.40,42310.11
EM-0092,Exclusive Offers,99754.00,5.00,10.59,9.34,0.33,94816.57
EM-0093,Holiday Discounts,466730.00,15.85,5.11,5.46,3.04,86483.74
EM-0094,Customer Appreciation,19939.00,17.68,14.54,6.62,2.91,5826.86
EM-0095,Flash Sale,178603.00,14.12,8.66,2.57,3.38,86393.13
EM-0096,Holiday Discounts,381365.00,10.62,6.68,4.27,2.53,53475.74
EM-0097,New Product Launch,215123.00,18.11,4.35,9.62,4.91,55544.98
EM-0098,Newsletter,110570.00,48.00,2.70,4.32,4.76,84901.43
EM-0099,Holiday Discounts,459312.00,39.17,10.20,6.18,4.72,77549.61
EM-0100,Exclusive Offers,105030.00,17.19,19.91,7.35,2.99,27922.82
EM-0101,Exclusive Offers,379552.00,40.81,16.09,4.79,4.26,4852.82
EM-0102,Exclusive Offers,145862.00,22.86,9.63,6.60,4.53,94732.05
EM-0103,Newsletter,4564.00,27.97,3.99,4.26,1.39,42334.99
EM-0104,Holiday Discounts,424907.00,6.92,9.28,8.82,3.00,51040.98
EM-0105,Customer Appreciation,423657.00,37.83,3.06,4.92,0.66,23759.31
EM-0106,Customer Appreciation,138240.00,49.65,7.52,4.94,2.40,12277.03
EM-0107,Flash Sale,215783.00,31.86,7.08,8.44,2.25,85625.12
EM-0108,New Product Launch,71908.00,29.94,10.89,3.72,4.65,34383.61
EM-0109,Exclusive Offers,204658.00,14.77,19.11,7.22,0.21,8474.24
EM-0110,Exclusive Offers,378857.00,16.80,18.20,8.58,1.07,30583.70
EM-0111,Holiday Discounts,263325.00,46.37,12.95,1.56,0.19,57427.42
EM-0112,Holiday Discounts,277831.00,7.73,1.75,9.96,1.37,86916.00
EM-0113,Flash Sale,291446.00,27.67,17.02,9.95,1.11,93065.66
EM-0114,Exclusive Offers,218520.00,28.55,12.55,2.86,1.76,61578.70
EM-0115,Flash Sale,367754.00,25.85,13.16,2.41,2.53,41690.87
EM-0116,Flash Sale,341310.00,14.96,17.48,1.47,4.51,63528.81
EM-0117,Flash Sale,341097.00,8.37,19.66,2.82,1.69,69465.82
EM-0118,Flash Sale,47297.00,5.47,6.62,9.93,1.56,49559.58
EM-0119,New Product Launch,376811.00,32.47,15.73,0.54,0.72,68769.26
EM-0120,Holiday Discounts,283700.00,7.48,9.07,3.76,1.82,67923.95
EM-0121,Flash Sale,224924.00,29.15,15.44,8.00,4.83,27092.09
EM-0122,Newsletter,347592.00,32.32,18.74,5.96,1.64,63810.16
EM-0123,New Product Launch,382207.00,30.65,5.03,3.31,0.82,50557.20
EM-0124,Newsletter,223958.00,36.39,12.19,5.22,4.70,77598.54
EM-0125,New Product Launch,39303.00,45.87,10.31,9.71,1.15,59087.40
EM-0126,Flash Sale,343588.00,15.99,2.25,1.50,4.65,61284.54
EM-0127,Exclusive Offers,35403.00,18.89,9.36,6.62,0.64,53308.41
EM-0128,New Product Launch,29191.00,34.75,18.44,3.96,4.83,24423.67
EM-0129,Flash Sale,379859.00,18.17,17.10,4.82,0.11,61318.80
EM-0130,Customer Appreciation,138601.00,8.57,3.51,4.54,3.73,60008.80
EM-0131,Exclusive Offers,180956.00,16.65,17.01,6.73,2.48,35555.51
EM-0132,Customer Appreciation,418356.00,12.65,18.78,4.67,3.45,5716.76
EM-0133,Exclusive Offers,94768.00,41.64,14.46,5.08,1.24,7688.97
EM-0134,Customer Appreciation,473622.00,32.82,2.23,2.59,4.15,31500.07
EM-0135,Flash Sale,227185.00,14.47,15.89,9.25,2.88,19947.75
EM-0136,Holiday Discounts,422357.00,49.71,1.87,4.89,0.91,61656.53
EM-0137,Flash Sale,386214.00,13.47,3.45,9.20,0.46,15892.41
EM-0138,Holiday Discounts,233673.00,44.70,4.03,9.70,3.29,15749.46
EM-0139,Exclusive Offers,180730.00,9.89,7.40,0.55,3.33,84736.93
EM-0140,Customer Appreciation,256304.00,30.74,5.68,9.87,2.69,45551.16
EM-0141,Exclusive Offers,8895.00,25.88,1.08,8.07,2.83,52105.06
EM-0142,Customer Appreciation,111737.00,39.13,9.12,8.96,0.18,70418.63
EM-0143,Flash Sale,276367.00,16.99,7.85,1.58,3.60,15396.96
EM-0144,New Product Launch,465001.00,24.62,13.74,6.57,3.60,72829.71
EM-0145,Newsletter,202584.00,16.81,6.00,1.55,1.81,7834.09
EM-0146,New Product Launch,339271.00,35.09,12.63,8.44,4.52,69051.64
EM-0147,Holiday Discounts,371168.00,27.25,1.94,5.33,1.08,55867.51
EM-0148,Holiday Discounts,356291.00,41.84,9.86,2.47,2.95,33658.90
EM-0149,Holiday Discounts,114038.00,18.61,14.28,4.21,0.75,9198.96
EM-0150,Customer Appreciation,224135.00,26.41,3.16,0.53,1.90,11207.21
EM-0151,Customer Appreciation,183777.00,9.10,2.33,2.82,0.53,62907.38
EM-0152,Holiday Discounts,128433.00,45.32,17.93,4.40,2.83,74058.01
EM-0153,Exclusive Offers,140757.00,41.74,15.82,1.01,0.47,55675.97
EM-0154,Newsletter,31941.00,15.90,2.82,8.79,3.75,22815.10
EM-0155,Customer Appreciation,148056.00,33.92,13.96,1.57,0.39,91986.21
EM-0156,Exclusive Offers,442115.00,22.01,18.49,5.86,4.55,26450.13
EM-0157,New Product Launch,355798.00,35.92,18.40,4.20,2.85,87138.48
EM-0158,Exclusive Offers,483013.00,11.04,6.18,1.89,1.52,92485.69
EM-0159,Newsletter,108471.00,19.36,16.53,8.01,2.32,68207.08
EM-0160,Flash Sale,212228.00,47.68,12.08,6.63,0.39,52436.59
EM-0161,New Product Launch,87368.00,15.51,2.59,1.40,3.03,19846.38
EM-0162,Newsletter,172992.00,21.86,9.22,6.45,0.74,25942.00
EM-0163,Exclusive Offers,200832.00,34.73,7.68,7.51,1.42,21454.77
EM-0164,New Product Launch,17777.00,25.95,13.14,4.92,3.43,48623.30
EM-0165,New Product Launch,82571.00,11.42,10.42,5.12,4.26,75709.84
EM-0166,Newsletter,393298.00,8.94,7.17,1.06,1.94,97442.17
EM-0167,Exclusive Offers,64125.00,5.70,3.41,3.14,0.34,63468.22
EM-0168,Holiday Discounts,180967.00,43.05,15.69,4.16,1.42,61533.91
EM-0169,Flash Sale,334383.00,42.92,3.34,2.82,0.60,54696.09
EM-0170,Customer Appreciation,455899.00,45.34,2.49,2.36,4.59,71163.19
EM-0171,Customer Appreciation,194002.00,5.06,18.83,4.83,0.45,76756.04
EM-0172,New Product Launch,406758.00,39.08,11.02,1.63,0.17,48380.14
EM-0173,New Product Launch,269525.00,29.39,13.50,0.75,0.88,72537.73
EM-0174,Exclusive Offers,236936.00,47.10,19.69,0.55,2.02,64530.47
EM-0175,Holiday Discounts,302605.00,36.95,8.30,8.46,1.91,46648.27
EM-0176,Flash Sale,214048.00,14.54,6.20,7.37,1.07,59527.83
EM-0177,Flash Sale,156583.00,15.36,1.13,6.92,0.87,54153.13
EM-0178,Flash Sale,480214.00,39.02,3.11,2.73,0.30,22076.00
EM-0179,Flash Sale,140804.00,23.20,2.76,1.99,3.56,81046.17
EM-0180,Flash Sale,41996.00,39.11,18.20,9.37,0.10,81888.68
EM-0181,Holiday Discounts,191954.00,11.47,2.67,9.21,1.43,75397.91
EM-0182,Flash Sale,240807.00,24.52,17.80,5.50,3.01,15130.32
EM-0183,Newsletter,363478.00,27.74,15.82,4.65,4.24,2721.69
EM-0184,Holiday Discounts,114084.00,19.49,2.80,4.71,2.96,77045.81
EM-0185,Customer Appreciation,374109.00,26.21,1.26,9.55,3.88,98477.29
EM-0186,Holiday Discounts,110343.00,34.51,2.30,9.26,3.08,57913.49
EM-0187,Flash Sale,58203.00,36.42,9.28,1.54,3.09,27492.37
EM-0188,New Product Launch,146868.00,12.06,7.19,9.94,4.13,88778.77
EM-0189,Newsletter,51966.00,43.47,18.52,6.22,2.71,85936.82
EM-0190,Customer Appreciation,7584.00,24.62,3.51,8.51,1.55,21964.59
EM-0191,Newsletter,66474.00,32.42,4.09,9.73,0.38,68337.43
EM-0192,New Product Launch,41060.00,22.47,5.72,5.65,0.33,19456.55
EM-0193,New Product Launch,487996.00,17.86,19.99,2.01,1.24,8061.92
EM-0194,Exclusive Offers,41173.00,19.33,14.54,6.31,0.21,65086.00
EM-0195,New Product Launch,169956.00,23.85,9.85,7.80,3.59,5547.69
EM-0196,Exclusive Offers,233722.00,14.55,9.74,2.00,0.12,12815.99
EM-0197,Flash Sale,31229.00,24.05,2.64,1.89,2.34,36918.31
EM-0198,Exclusive Offers,72251.00,22.56,5.41,0.99,4.68,41624.82
EM-0199,New Product Launch,421817.00,32.15,10.22,0.77,4.45,60537.17
EM-0200,Holiday Discounts,161895.00,14.31,15.30,1.97,3.61,45888.06
EM-0201,Newsletter,285771.00,43.63,5.02,8.26,3.37,26677.37
EM-0202,Flash Sale,356386.00,26.46,12.53,8.36,1.39,80467.54
EM-0203,New Product Launch,93661.00,34.93,11.49,5.92,4.94,71424.98
EM-0204,Flash Sale,447046.00,9.84,17.65,7.31,3.45,63934.33
EM-0205,Customer Appreciation,457005.00,9.73,16.97,7.04,4.95,56761.17
EM-0206,Exclusive Offers,260519.00,31.13,5.20,4.42,1.78,16440.78
EM-0207,Customer Appreciation,188096.00,42.99,13.78,7.35,3.78,43224.30
EM-0208,Holiday Discounts,476387.00,10.12,13.65,0.76,1.96,29551.38
EM-0209,Newsletter,175337.00,6.67,14.96,3.82,4.93,894.35
EM-0210,Holiday Discounts,280236.00,41.59,6.61,6.78,4.12,83250.01
EM-0211,New Product Launch,201125.00,23.49,6.97,3.50,0.65,15607.02
EM-0212,Holiday Discounts,266969.00,36.72,17.33,9.00,4.59,23470.68
EM-0213,Exclusive Offers,439664.00,12.20,2.84,9.87,4.43,81145.99
EM-0214,Newsletter,280545.00,11.18,2.49,2.94,3.48,26089.36
EM-0215,Holiday Discounts,197655.00,8.86,2.95,1.01,3.16,85955.69
EM-0216,Customer Appreciation,323385.00,22.42,19.10,9.24,2.42,82384.06
EM-0217,Exclusive Offers,443619.00,27.49,10.70,6.27,0.77,531.05
EM-0218,New Product Launch,73556.00,22.66,15.20,7.99,4.68,70075.49
EM-0219,Flash Sale,82258.00,45.04,7.70,5.67,2.02,73074.93
EM-0220,Holiday Discounts,220848.00,26.75,18.13,0.89,2.90,23117.81
EM-0221,Exclusive Offers,441935.00,28.97,16.44,1.76,2.54,28096.30
EM-0222,Customer Appreciation,248875.00,9.34,19.17,9.86,1.56,92322.96
EM-0223,Customer Appreciation,178525.00,14.94,6.46,7.12,4.96,34469.27
EM-0224,Customer Appreciation,318988.00,46.28,1.22,7.09,2.34,57593.78
EM-0225,New Product Launch,323904.00,32.65,16.49,6.12,4.52,43415.38
EM-0226,Customer Appreciation,439443.00,22.23,9.99,7.41,1.48,50008.82
EM-0227,Customer Appreciation,442844.00,25.95,13.97,9.08,0.36,9190.63
EM-0228,New Product Launch,104386.00,22.64,9.35,5.54,0.64,10627.54
EM-0229,Exclusive Offers,317685.00,14.93,8.90,7.08,2.83,29402.79
EM-0230,New Product Launch,479420.00,9.57,4.57,8.00,0.56,26768.13
EM-0231,Holiday Discounts,299360.00,10.05,3.02,1.73,2.46,95924.70
EM-0232,New Product Launch,280741.00,27.71,19.04,0.81,1.30,40128.46
EM-0233,Newsletter,46413.00,9.41,2.39,6.96,3.33,96098.06
EM-0234,Customer Appreciation,31912.00,23.87,13.44,0.60,3.32,43449.04
EM-0235,Holiday Discounts,94593.00,9.42,5.64,6.41,3.28,50640.31
EM-0236,Newsletter,188795.00,49.59,17.16,9.53,2.53,6538.92
EM-0237,New Product Launch,433888.00,22.37,4.78,1.59,3.16,17255.62
EM-0238,Exclusive Offers,113457.00,38.71,16.51,9.11,0.63,21704.29
EM-0239,New Product Launch,77676.00,19.24,3.37,1.75,3.45,16419.43
EM-0240,Newsletter,118023.00,30.97,18.98,6.54,3.73,8275.61
EM-0241,Newsletter,49035.00,39.77,14.81,6.77,3.85,89191.22
EM-0242,Flash Sale,234681.00,49.95,4.80,3.22,1.77,10274.45
EM-0243,Holiday Discounts,145076.00,5.29,12.37,2.02,1.25,92371.72
EM-0244,Customer Appreciation,61468.00,9.35,14.89,4.11,0.63,35128.97
EM-0245,Holiday Discounts,122646.00,6.05,3.48,4.53,3.72,11585.62
EM-0246,Flash Sale,35590.00,9.86,14.19,2.75,2.57,26796.04
EM-0247,Flash Sale,337548.00,9.78,6.63,6.13,2.49,97545.90
EM-0248,Customer Appreciation,304009.00,40.00,18.70,1.88,0.86,28854.98
EM-0249,Customer Appreciation,39162.00,30.62,9.96,3.75,0.95,76480.75
EM-0250,Flash Sale,298300.00,38.88,17.60,9.30,1.22,96530.31
EM-0251,Flash Sale,459650.00,36.85,19.46,9.18,0.23,9272.39
EM-0252,Customer Appreciation,3000.00,10.92,2.74,7.34,4.71,87657.57
EM-0253,Holiday Discounts,318316.00,5.61,11.52,7.53,4.85,81256.77
EM-0254,New Product Launch,255676.00,25.70,17.16,1.11,4.18,93228.56
EM-0255,New Product Launch,145271.00,36.60,13.55,3.21,4.52,72129.06
EM-0256,Newsletter,365992.00,15.50,16.28,5.51,3.92,68938.27
EM-0257,New Product Launch,101783.00,33.57,10.94,5.22,1.97,42048.74
EM-0258,Flash Sale,61560.00,20.92,7.31,9.61,4.49,74019.02
EM-0259,Exclusive Offers,43436.00,45.97,19.73,3.71,4.17,20126.63
EM-0260,Exclusive Offers,407332.00,43.25,8.41,3.85,0.51,67213.22
EM-0261,Newsletter,194840.00,31.45,11.86,6.01,3.57,60490.64
EM-0262,Holiday Discounts,212008.00,11.06,19.26,9.68,3.52,30688.37
EM-0263,Customer Appreciation,454920.00,7.22,1.67,2.67,1.89,7160.31
EM-0264,Newsletter,196676.00,21.40,11.81,0.64,4.84,40232.19
EM-0265,New Product Launch,72321.00,44.59,12.20,4.57,4.32,3537.60
EM-0266,Flash Sale,109025.00,16.88,11.75,2.70,0.12,9269.40
